Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Is Training
30000,-0.08319897,3.979871,0.06552311,0.023025688,0.00029840638,0.19946876,0.004973492,999.0,-3.1679165937627354,-3.1679165937627354,0.0,0.0,0.0,0.0,1.0
40000,-0.09211658,3.978222,0.038741972,0.022681741,0.00029762398,0.19920795,0.0049604783,None,None,None,3.5,1.0,1.5,4.5,1.0
50000,-0.12004119,3.975058,0.034439396,0.028708313,0.00029683678,0.19894558,0.004947385,999.0,-2.640624960496401,-2.640624960496401,0.0,0.0,0.0,0.0,1.0
60000,-0.14339054,3.9669292,0.028933298,0.02022695,0.0002960544,0.19868478,0.0049343714,None,None,None,1.0,2.0,0.0,1.0,1.0
70000,-0.13771416,3.9656289,0.02967814,0.024725754,0.00029526727,0.1984224,0.0049212775,None,None,None,3.0,2.0,0.0,1.0,1.0
80000,-0.12985763,3.9660082,0.032139886,0.018602697,0.00029448484,0.1981616,0.0049082637,999.0,-1.829791604812878,-1.829791604812878,1.5,1.5,2.0,0.0,1.0
90000,-0.1396998,3.958754,0.03867146,0.029667763,0.00029369758,0.19789921,0.0048951698,None,None,None,4.0,4.0,4.0,1.0,1.0
100000,-0.14266533,3.9536564,0.027840804,0.026511287,0.00029289126,0.1976304,0.0048817564,999.0,-1.1602082583510007,-1.1602082583510007,0.0,0.0,0.0,0.0,1.0
110000,-0.15451103,3.9534316,0.024518725,0.02150441,0.00029210877,0.1973696,0.0048687435,None,None,None,3.0,0.0,1.0,0.0,1.0
120000,-0.17459284,3.9552288,0.036313985,0.021519074,0.00029132157,0.19710723,0.0048556486,999.0,-3.013695598984866,-3.013695598984866,1.5,1.0,0.5,0.0,1.0
130000,-0.19897841,3.957313,0.025624838,0.022899691,0.0002905392,0.19684643,0.004842636,None,-3.1449999529868364,-3.1449999529868364,1.0,1.0,1.0,4.0,1.0
140000,-0.21183063,3.9582872,0.03400727,0.023928436,0.00028975203,0.19658405,0.0048295413,None,None,None,1.0,2.0,2.0,7.0,1.0
150000,-0.2027224,3.9595227,0.027262263,0.020052621,0.00028896966,0.19632323,0.004816528,999.0,-2.6933332653716207,-2.6933332653716207,0.0,0.0,0.0,0.0,1.0
160000,-0.18594585,3.954018,0.019607369,0.019408518,0.00028818246,0.19606079,0.004803434,None,None,None,0.5,1.5,1.5,1.5,1.0
170000,-0.15663351,3.9502993,0.031334613,0.018256532,0.00028741203,0.19580403,0.0047906195,999.0,-0.8197915874576817,-0.8197915874576817,0.0,0.0,0.0,0.0,1.0
180000,-0.14549495,3.9504457,0.022608316,0.020084219,0.0002866128,0.1955376,0.0047773262,None,None,None,2.0,2.0,1.0,0.0,1.0
190000,-0.12262672,3.9445276,0.022829859,0.026045939,0.00028580643,0.19526878,0.004763914,None,None,None,3.0,4.0,4.0,2.0,1.0
200000,-0.14443262,3.9413323,0.02435628,0.02242464,0.00028502397,0.19500796,0.0047508986,999.0,-0.13770825800020248,-0.13770825800020248,1.0,0.5,1.5,1.5,1.0
210000,-0.14276686,3.939507,None,None,None,None,None,None,None,None,3.0,1.0,5.0,6.0,1.0
220000,-0.1434666,3.9335244,0.049240407,0.025213443,0.00028423683,0.19474559,0.0047378065,999.0,-2.6012498827961585,-2.6012498827961585,0.0,0.0,0.0,0.0,1.0
230000,-0.13450985,3.922848,0.035624996,0.024872696,0.00028345446,0.19448477,0.004724791,None,None,None,1.0,3.0,3.0,2.0,1.0
240000,-0.10127152,3.910391,0.020668536,0.022622356,0.00028266723,0.19422242,0.004711698,999.0,-0.31673904986161255,-0.31673904986161255,1.0,2.0,2.0,1.5,1.0
250000,-0.07555543,3.9140952,0.024636062,0.023298586,0.00028188486,0.1939616,0.0046986835,None,1.8450001832097769,1.8450001832097769,2.0,2.0,0.0,4.0,1.0
260000,-0.049219877,3.9081922,0.019509446,0.026925039,0.00028109766,0.19369923,0.0046855905,None,None,None,3.0,3.0,1.0,4.0,1.0
270000,-0.066781044,3.90059,0.01915624,0.024708588,0.00028029122,0.1934304,0.0046721757,999.0,-0.815833246257777,-0.815833246257777,0.0,0.0,0.0,0.0,1.0
280000,-0.09472978,3.8994215,0.023653066,0.025307378,0.00027950882,0.1931696,0.0046591624,None,None,None,2.0,1.5,2.5,3.0,1.0
290000,-0.09259027,3.8866107,0.016146896,0.02779181,0.00027872162,0.19290724,0.004646069,999.0,-1.658749943288664,-1.658749943288664,0.0,0.0,0.0,0.0,1.0
300000,-0.066974014,3.8814015,0.023683306,0.025644358,0.00027793922,0.19264644,0.004633055,None,None,None,0.0,2.0,1.0,2.0,1.0
310000,-0.03957579,3.8725264,0.02049907,0.018429164,0.000277152,0.19238396,0.0046199616,None,None,None,2.0,4.0,1.0,4.0,1.0
