Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,0.249073,2.8550956,3.5,4.5,1.0,2.0,0.07349652,0.030100748,0.00029746562,0.19915521,0.0049578445,2467.0,22.449999563395977,22.449999563395977,1.0
50000,0.014149643,2.8653135,2.5,3.5,1.5,2.5,0.112752475,0.02240384,0.0002966949,0.1988983,0.004945025,None,None,None,1.0
60000,0.024294324,2.8588884,1.0,3.5,3.0,3.0,0.061282177,0.021018304,0.00029585496,0.19861832,0.0049310527,None,None,None,1.0
70000,-0.0018612571,2.8553336,1.0,5.0,5.0,4.5,0.033061624,0.021271804,0.0002950821,0.19836076,0.0049181986,None,None,None,1.0
80000,-0.053055003,2.8575022,0.5,2.5,2.5,3.5,0.026281063,0.024020394,0.0002942421,0.19808067,0.0049042264,4998.333333333333,-25.536667158703008,-25.536667158703008,1.0
90000,-0.2060971,2.879467,0.0,0.0,0.0,0.0,0.08614614,0.021567674,0.00029346588,0.19782196,0.004891316,None,None,None,1.0
100000,-0.24165209,2.8791008,0.0,0.5,1.0,2.0,0.028473172,0.035327733,0.00029269312,0.19756432,0.004878461,None,None,None,1.0
110000,-0.2382296,2.8741355,0.0,1.0,3.5,4.0,0.054455534,0.02497753,0.00029192027,0.19730672,0.0048656063,None,None,None,1.0
120000,-0.21819775,2.864495,0.0,1.0,5.0,4.0,0.0435182,0.028150653,0.00029108502,0.19702832,0.0048517147,4999.0,-29.950000513345003,-29.950000513345003,1.0
130000,-0.28247705,2.8597107,1.0,2.0,5.0,4.0,0.0652477,0.031801112,0.00029031647,0.19677214,0.00483893,None,None,None,1.0
140000,-0.20316948,2.8288603,2.5,2.0,5.0,1.0,0.05673258,0.022591246,0.00028954362,0.19651456,0.004826075,None,None,None,1.0
150000,-0.18212001,2.7931714,3.5,2.5,5.0,1.0,0.056130055,0.026161855,0.00028877085,0.19625698,0.004813222,None,None,None,1.0
160000,-0.24984525,2.791313,2.0,1.5,0.5,0.5,0.12563983,0.031580113,0.00028800213,0.19600067,0.0048004347,4974.6,-13.923333689570427,-13.923333689570427,1.0
170000,-0.3078998,2.7631276,2.0,1.0,1.0,0.0,None,None,None,None,None,None,None,None,1.0
180000,-0.23178111,2.6641173,2.5,1.0,1.5,0.0,0.06612168,0.027475275,0.00028722928,0.19574311,0.00478758,None,None,None,1.0
190000,-0.23383968,2.6658242,3.0,2.0,1.5,0.0,0.090614274,0.023531282,0.00028645652,0.19548553,0.0047747255,1461.0,13.54999989271164,13.54999989271164,1.0
200000,-0.19202061,2.6110919,2.0,1.0,1.0,0.5,0.12723334,0.030195473,0.00028568445,0.19522814,0.004761885,4999.0,-7.200000435113907,-7.200000435113907,1.0
210000,-0.25804707,2.632153,3.0,1.0,2.0,1.0,0.10415787,0.023740804,0.00028491585,0.19497198,0.0047491,None,None,None,1.0
220000,-0.21514866,2.4734933,2.5,1.0,2.0,1.0,0.07895229,0.031110974,0.00028409026,0.19469677,0.0047353674,3660.0,21.850000374019146,21.850000374019146,1.0
230000,-0.2513168,2.5029929,1.5,1.5,1.0,1.5,0.13266662,0.024159146,0.0002833213,0.19444041,0.004722578,None,None,None,1.0
240000,-0.244655,2.536906,1.0,1.0,0.5,0.5,0.057545103,0.026852777,0.00028254846,0.19418284,0.0047097225,4999.0,-7.392307538539171,-7.392307538539171,1.0
250000,-0.17266946,2.4961479,1.0,0.0,2.0,2.0,0.13615926,0.022087438,0.00028177752,0.19392583,0.0046968996,None,None,None,1.0
260000,-0.11620448,2.394157,2.0,1.5,2.5,3.5,0.06610578,0.022100735,0.00028100464,0.19366823,0.0046840445,None,None,None,1.0
270000,-0.15728751,2.4486678,1.5,1.5,3.5,5.0,0.05655315,0.018249903,0.00028023604,0.19341199,0.00467126,4999.0,5.299999628216028,5.299999628216028,1.0
280000,-0.1197094,2.4354007,1.0,2.5,1.0,3.0,0.09435915,0.021628255,0.00027946327,0.1931544,0.0046584057,3611.0,6.250000322237611,6.250000322237611,1.0
290000,-0.05991458,2.4882746,1.0,1.0,1.0,1.0,0.16658594,0.025224114,0.00027869112,0.19289699,0.004645561,None,None,None,1.0
300000,-0.055608816,2.2878532,1.0,2.0,2.0,1.0,0.058022633,0.015748808,0.0002779135,0.19263786,0.004632627,4999.0,-22.250000551342964,-22.250000551342964,1.0
310000,0.018933352,2.3007782,1.0,4.0,1.0,2.0,0.11729743,0.0237878,0.0002771449,0.19238167,0.004619843,None,None,None,1.0
320000,0.02037901,2.2464597,0.5,3.5,1.0,2.0,0.09484117,0.023406414,0.00027637635,0.19212541,0.004607058,4999.0,11.179167026343444,11.179167026343444,1.0
330000,0.014713243,2.2561202,0.0,2.0,2.0,1.0,0.18806678,0.02621721,0.00027560644,0.19186881,0.004594254,None,None,None,1.0
340000,0.038975094,2.2169225,1.5,2.5,3.0,1.0,0.11627431,0.020090012,0.0002748367,0.19161223,0.0045814505,855.0,17.750000536441803,17.750000536441803,1.0
350000,0.0638887,2.2114127,2.0,4.0,1.5,1.0,0.07311402,0.027728083,0.00027406323,0.19135441,0.0045685857,4999.0,-17.249999906867743,-17.249999906867743,1.0
360000,0.06351185,2.2325706,6.0,1.5,1.5,1.5,0.11544851,0.028061377,0.0002732947,0.19109823,0.0045558014,4999.0,-13.37499994598329,-13.37499994598329,1.0
370000,-0.030899206,2.2775156,2.0,3.0,1.0,1.0,0.09024945,0.02253902,0.0002725261,0.19084206,0.0045430167,None,None,None,1.0
380000,0.0025612183,2.169392,4.0,3.0,1.0,1.5,0.070438154,0.023744857,0.0002717575,0.19058578,0.004530234,4199.0,0.7250001318752766,0.7250001318752766,1.0
390000,0.08385626,1.8843468,3.5,3.0,1.0,2.0,0.12627819,0.029468406,0.00027098885,0.19032961,0.0045174486,None,None,None,1.0
400000,0.065429114,1.9509627,0.5,1.5,0.5,1.0,0.10921064,0.023767242,0.00027022033,0.19007345,0.0045046643,4999.0,4.199999905005098,4.199999905005098,1.0
410000,0.0973309,1.8766412,1.0,0.0,1.0,0.0,0.12101782,0.016289892,0.0002694517,0.18981726,0.0044918796,None,None,None,1.0
420000,0.13949107,1.8522366,5.0,0.0,2.5,0.5,0.16721219,0.017466294,0.0002686797,0.1895599,0.004479038,3033.5,19.674999698996544,19.674999698996544,1.0
430000,0.17069867,1.7864771,1.5,5.0,2.0,1.0,0.1813093,0.026865462,0.00026790626,0.18930207,0.004466175,4999.0,15.59999991953373,15.59999991953373,1.0
440000,0.05426709,2.0234287,2.0,1.0,3.0,1.5,0.1427709,0.031656303,0.00026710186,0.18903396,0.004452794,4003.6666666666665,13.183333970606327,13.183333970606327,1.0
450000,0.043864083,1.7938372,2.0,1.0,1.5,1.0,0.06971736,0.022429015,0.00026633326,0.18877777,0.0044400096,None,None,None,1.0
460000,0.07090747,1.9488845,2.0,1.5,3.5,1.0,0.282828,0.025364185,0.00026556203,0.18852063,0.004427181,4980.5,28.22500129044056,28.22500129044056,1.0
470000,0.046648644,1.9593118,3.0,2.5,1.0,1.0,0.051857363,0.026328007,0.0002647893,0.18826307,0.004414327,None,None,None,1.0
