Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
150000,-1.1279593,2.642847,2306.0,0.5,1.0,0.0,1.5,0.49953067,0.015489155,0.00028939446,0.19646485,0.009646833,3.699999585747719,3.699999585747719,1.0
160000,-0.99673015,2.5665686,None,2.0,2.0,4.0,3.5,0.4679333,0.015875412,0.0002886262,0.19620875,0.009621251,None,None,1.0
170000,-0.7727699,2.4904184,None,3.0,4.5,7.5,5.0,0.2953666,0.016276425,0.00028771418,0.19590473,0.009590882,None,None,1.0
180000,-0.5541525,2.4295871,None,4.0,6.0,9.0,6.0,0.21886446,0.017327553,0.00028693659,0.19564553,0.009564986,None,None,1.0
190000,-0.9264327,2.456366,4983.866666666667,0.5,0.5,2.5,0.5,0.2692646,0.017660258,0.00028616702,0.19538899,0.009539361,-65.50533378981054,-65.50533378981054,1.0
200000,-0.7818182,2.3961167,None,2.5,1.5,7.0,2.0,0.21017157,0.017048143,0.00028538943,0.19512981,0.009513467,None,None,1.0
210000,-0.4842455,2.3348384,None,3.0,3.0,8.0,3.0,0.13633437,0.015762607,0.00028461183,0.1948706,0.009487573,None,None,1.0
220000,-0.26267278,2.3458612,2121.0,3.0,6.0,9.0,3.0,0.13262406,0.013974529,0.00028370944,0.19456978,0.009457523,20.735000328160822,20.735000328160822,1.0
230000,-0.4823393,2.2889564,4999.0,1.0,1.5,1.0,1.0,0.2559136,0.020960571,0.00028293527,0.19431175,0.009431744,-27.750000320374966,-27.750000320374966,1.0
240000,-0.15603498,2.2464736,3492.0,7.0,8.5,7.5,3.0,0.21689819,0.01177079,0.00028215765,0.19405255,0.0094058495,14.499999298714101,14.499999298714101,1.0
250000,-0.14891674,2.1832547,None,6.0,6.5,4.0,1.5,0.29336554,0.017862905,0.0002813869,0.19379562,0.009380182,None,None,1.0
260000,0.03491056,2.087991,4281.0,3.5,4.0,2.5,7.0,0.40351975,0.012846424,0.00028061456,0.19353819,0.009354463,50.439999835565686,50.439999835565686,1.0
270000,0.20430449,2.01563,4643.384615384615,3.5,5.0,2.0,5.5,0.4278789,0.020430885,0.00027983933,0.19327979,0.009328649,21.928076040143004,21.928076040143004,1.0
280000,0.46098825,1.9152743,442.0,4.5,6.5,6.0,8.0,0.6885919,0.017651545,0.00027906746,0.1930225,0.009302945,30.31499981880188,30.31499981880188,1.0
290000,0.673967,1.8928298,1362.5,2.0,7.0,4.0,6.0,0.6635195,0.019362649,0.0002782965,0.19276552,0.009277273,63.53499995172024,63.53499995172024,1.0
300000,0.8181833,1.8115073,3471.0,2.5,3.0,4.0,4.0,0.7913427,0.014341451,0.00027752612,0.1925087,0.009251619,81.50249891728163,81.50249891728163,1.0
310000,1.0094149,1.6797779,3189.3333333333335,2.5,3.0,1.5,3.0,0.8966054,0.010506771,0.0002767507,0.1922502,0.009225798,118.83499859770139,118.83499859770139,1.0
320000,1.2459611,1.6527686,3033.5,8.0,7.0,8.0,5.5,None,None,None,None,None,104.7349995970726,104.7349995970726,1.0
330000,1.5294007,1.5445067,2105.6666666666665,6.5,5.5,5.0,4.0,0.783414,0.013811753,0.00027597873,0.19199291,0.009200091,112.91333362832665,112.91333362832665,1.0
340000,1.65367,1.5513618,2938.3333333333335,4.0,5.0,3.0,5.0,0.8756497,0.01792455,0.0002751591,0.19171971,0.009172798,135.65833285947642,135.65833285947642,1.0
350000,1.9266392,1.4802322,4301.428571428572,4.0,4.5,3.5,2.0,0.94912565,0.021174628,0.00027438256,0.19146083,0.009146938,184.64428584703379,184.64428584703379,1.0
360000,2.3159359,1.4201168,1687.5,7.0,3.5,7.5,7.5,1.4585909,0.018034264,0.00027361105,0.19120367,0.0091212485,114.80124957486987,114.80124957486987,1.0
370000,2.5746849,1.4254519,2451.3333333333335,10.0,9.0,3.0,7.0,1.1331906,0.014204067,0.00027283584,0.19094527,0.009095432,123.79166784882545,123.79166784882545,1.0
380000,2.8251424,1.3947985,1426.0,4.0,3.5,7.5,7.0,0.94912237,0.015905581,0.00027206386,0.19068795,0.009069726,105.08500014742215,105.08500014742215,1.0
390000,3.0112495,1.3102572,3129.5,2.5,1.0,5.0,2.0,1.0757686,0.018489001,0.000271291,0.19043031,0.00904399,187.15250107645988,187.15250107645988,1.0
400000,3.1774933,1.2939568,3060.75,2.5,3.5,5.0,6.5,1.1487103,0.012372761,0.00027051842,0.19017279,0.009018262,198.75500082224607,198.75500082224607,1.0
410000,3.3833363,1.2832758,2375.75,4.5,3.5,3.0,3.5,1.450687,0.016234359,0.00026974885,0.18991628,0.008992637,159.74375029164366,159.74375029164366,1.0
420000,3.6088984,1.2668136,3344.3333333333335,1.5,2.5,7.5,1.5,1.2136823,0.019332904,0.0002689795,0.18965985,0.008967016,216.69333372513452,216.69333372513452,1.0
430000,3.7160614,1.2471743,3624.75,1.0,2.5,1.5,1.0,1.194376,0.021083813,0.00026820938,0.18940312,0.008941372,273.20374991744757,273.20374991744757,1.0
440000,4.002052,1.1860236,2149.5,5.5,5.0,1.0,2.0,1.4678025,0.013962167,0.00026743286,0.18914428,0.008915513,173.31125166639686,173.31125166639686,1.0
450000,4.148697,1.1218115,2735.75,2.0,8.0,5.0,4.0,1.3471007,0.017393386,0.00026665797,0.18888599,0.008889709,209.97750117257237,209.97750117257237,1.0
