Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
60000,0.2127698,2.8375232,8.0,2.0,2.0,6.0,3509.0,5.960000693798065,5.960000693798065,1.1606346,0.0149321435,0.00029554157,0.19851385,0.009851533,1.0
70000,-0.1403256,2.816914,8.0,2.0,3.0,2.0,None,None,None,None,None,None,None,None,1.0
80000,0.039545838,2.7841117,0.5,1.5,1.5,1.0,4999.0,-213.2333339549601,-213.2333339549601,3.0520349,0.012203243,0.00029462957,0.19820984,0.009821164,1.0
90000,-0.28402352,2.7855709,2.0,1.0,0.0,1.0,None,None,None,0.9856164,0.020081494,0.0002938526,0.19795085,0.0097952895,1.0
100000,-0.016982563,2.7453663,2.5,2.5,2.5,1.0,None,None,None,3.1762369,0.01610538,0.00029307496,0.19769163,0.009769396,1.0
110000,0.103212915,2.688937,7.0,3.5,6.0,2.5,None,None,None,0.67258,0.017573692,0.00029216296,0.19738765,0.0097390255,1.0
120000,0.16719535,2.6726103,11.5,5.0,8.5,3.0,2376.0,-16.49999889731407,-16.49999889731407,0.8098436,0.019795764,0.00029138537,0.19712844,0.009713132,1.0
130000,-0.19828638,2.7082381,1.0,3.5,3.0,1.0,None,None,None,0.5374842,0.017844064,0.0002906119,0.19687063,0.009687375,1.0
140000,-0.18667956,2.6934016,1.0,2.5,3.0,3.0,4999.0,-4.759999353438616,-4.759999353438616,0.32766837,0.013573469,0.0002898433,0.19661441,0.009661781,1.0
150000,-0.33381546,2.6656866,2.5,1.0,2.0,2.0,None,None,None,0.6958059,0.016701395,0.0002889409,0.19631363,0.009631731,1.0
160000,-0.2067158,2.6201372,2.5,0.5,1.5,2.0,4999.0,-76.45285644887814,-76.45285644887814,0.1881923,0.013629352,0.00028816328,0.19605441,0.009605837,1.0
170000,-0.27405643,2.6259046,1.0,2.0,0.0,1.0,None,None,None,0.24590711,0.018853672,0.00028738688,0.19579561,0.009579983,1.0
180000,-0.22811061,2.5707648,3.0,7.5,0.0,3.5,None,None,None,0.16335243,0.017368458,0.00028660928,0.19553643,0.009554088,1.0
190000,-0.15803303,2.474218,7.5,9.5,0.5,6.5,None,None,None,None,None,None,None,None,1.0
200000,-0.14772233,2.432634,9.0,10.5,1.0,7.0,4999.0,-14.119999680668116,-14.119999680668116,0.1012463,0.015314435,0.0002857069,0.19523564,0.009524038,1.0
210000,-0.11725182,2.3674102,2.0,0.0,3.5,6.0,None,None,None,0.14908247,0.017895602,0.0002849383,0.19497944,0.009498444,1.0
220000,-0.042167593,2.2980988,3.5,2.0,4.0,11.5,4999.0,7.060000613331795,7.060000613331795,0.11246283,0.014480777,0.00028416066,0.19472022,0.009472551,1.0
230000,0.070245825,2.2509444,4.5,5.0,5.5,4.5,None,None,None,0.27965704,0.019361934,0.0002833921,0.19446403,0.009446956,1.0
240000,0.21617462,2.2001538,3.5,0.5,0.5,4.0,4971.785714285715,17.57571467038776,17.57571467038776,0.19976555,0.015720887,0.0002826145,0.19420485,0.009421062,1.0
250000,0.4062232,2.1257935,3.0,10.0,6.0,9.0,379.0,28.260000705718994,28.260000705718994,0.43959156,0.018409967,0.00028183786,0.19394594,0.0093952,1.0
260000,0.5964343,2.070769,4.5,9.5,4.5,3.5,1746.0,51.04999976232648,51.04999976232648,0.5475689,0.015201631,0.00028106468,0.19368824,0.009369453,1.0
270000,0.78922415,1.9519991,10.5,5.0,6.5,7.0,1719.0,63.64000070095062,63.64000070095062,0.5373188,0.016466878,0.00028028974,0.1934299,0.0093436465,1.0
280000,0.92586786,1.8529241,1.5,3.5,1.5,2.0,3086.0,86.86000082145135,86.86000082145135,0.6969942,0.01562417,0.0002795141,0.19317135,0.009317818,1.0
290000,1.2458743,1.7710638,4.0,8.5,3.0,4.0,1670.6666666666667,76.46000037963192,76.46000037963192,0.92382514,0.014449301,0.00027873865,0.19291288,0.009291996,1.0
300000,1.4678077,1.6684889,4.0,9.5,7.0,7.0,2730.5,119.55000030994415,119.55000030994415,0.8849385,0.015106773,0.0002779668,0.19265561,0.009266295,1.0
310000,1.6458666,1.6513531,11.5,5.0,8.5,10.0,1295.0,77.2299998998642,77.2299998998642,0.9217635,0.013039632,0.00027719798,0.19239932,0.0092406925,1.0
320000,1.9231774,1.5218288,0.5,1.0,4.5,1.5,4423.555555555556,183.9088883586228,183.9088883586228,1.0586675,0.021748537,0.0002764266,0.1921422,0.009215007,1.0
330000,2.0579772,1.5292006,6.0,3.0,3.5,3.0,2093.0,100.83999967078368,100.83999967078368,1.1051328,0.020660793,0.00027565408,0.19188467,0.009189279,1.0
340000,2.3238134,1.4536327,10.0,2.0,9.0,2.0,2495.0,124.38000072911382,124.38000072911382,1.019148,0.009918269,0.00027487735,0.19162577,0.009163414,1.0
350000,2.5103023,1.435703,10.5,6.5,3.5,7.0,2225.0,137.1800002257029,137.1800002257029,1.1017314,0.017665958,0.0002741039,0.19136795,0.0091376575,1.0
360000,2.7656574,1.3744005,6.0,5.0,5.0,7.5,2146.5,143.71999989449978,143.71999989449978,1.1109418,0.017880164,0.00027332956,0.19110985,0.009111874,1.0
370000,2.8654103,1.3729113,7.0,7.0,3.5,4.5,2842.0,189.60666683812937,189.60666683812937,1.2818834,0.015155263,0.00027255234,0.19085078,0.009085992,1.0
380000,3.1647868,1.2520435,3.0,2.5,10.5,3.5,2735.75,177.64499993249774,177.64499993249774,1.2245332,0.012489269,0.00027178257,0.19059415,0.009060358,1.0
390000,3.3221846,1.2710996,7.5,8.0,3.0,7.5,2608.0,175.83500118553638,175.83500118553638,1.4392734,0.017110338,0.00027101394,0.19033799,0.009034763,1.0
400000,3.5630507,1.2208258,5.0,3.5,7.5,4.5,3443.0,237.6850007995963,237.6850007995963,1.4048651,0.01607511,0.00027024542,0.19008179,0.009009171,1.0
410000,3.7864313,1.1896816,4.0,4.0,5.0,4.5,1666.3333333333333,133.5400000413259,133.5400000413259,1.1822178,0.019918859,0.00026946986,0.18982327,0.008983345,1.0
