Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
70000,0.03965805,2.8041837,4.5,2.0,2.5,6.0,0.12293505,0.01332445,0.00029524174,0.19841391,0.009841552,1038.0,13.499999523162842,13.499999523162842,1.0
80000,0.10320788,2.8059454,1.5,2.5,0.0,1.5,0.17287616,0.018364353,0.00029447267,0.19815753,0.009815939,1744.0,11.199999421834946,11.199999421834946,1.0
90000,0.15377715,2.787394,1.0,3.5,1.5,2.0,0.2594957,0.016908972,0.0002936986,0.19789952,0.009790163,None,None,None,1.0
100000,0.13911605,2.74555,3.0,5.5,4.0,4.0,0.09701462,0.015626375,0.0002927962,0.19759874,0.0097601125,2967.0,14.5799989849329,14.5799989849329,1.0
110000,0.21258938,2.7514877,1.5,1.5,1.0,1.0,0.17473534,0.023553755,0.0002920264,0.19734211,0.009734479,None,None,None,1.0
120000,0.24376167,2.7348883,4.0,1.0,2.5,2.0,0.17961074,0.019620728,0.00029125187,0.19708395,0.009708687,3926.0,30.679999083280563,30.679999083280563,1.0
130000,0.2617715,2.7213082,2.0,3.0,3.0,2.0,0.117946565,0.013942292,0.00029047427,0.19682474,0.009682792,None,None,None,1.0
140000,0.36546952,2.7718296,0.5,0.5,0.5,0.0,0.1092774,0.016901137,0.00028969906,0.19656636,0.009656978,4999.0,16.844999218980472,16.844999218980472,1.0
150000,0.353121,2.73104,1.5,2.0,1.5,1.0,0.104921676,0.010100356,0.00028893043,0.19631016,0.009631384,4999.0,18.139999717473984,18.139999717473984,1.0
160000,0.40332335,2.7097106,2.0,1.0,4.5,2.0,0.14465752,0.018432824,0.0002881529,0.19605094,0.00960549,4999.0,10.599998772144318,10.599998772144318,1.0
170000,0.50326097,2.7159555,2.5,5.5,1.5,4.0,0.14267646,0.015653329,0.00028738426,0.19579476,0.009579895,None,None,None,1.0
180000,0.46780586,2.7176373,0.5,1.5,0.5,0.5,0.19351187,0.015624532,0.0002866101,0.19553669,0.009554116,3816.0,20.769999615848064,20.769999615848064,1.0
190000,0.49452934,2.6925392,3.0,2.5,1.0,3.0,None,None,None,None,None,None,None,None,1.0
200000,0.52368176,2.7079523,0.5,1.0,1.0,4.0,0.15895148,0.014558064,0.00028573652,0.19524552,0.009525025,3903.5,46.359999768435955,46.359999768435955,1.0
210000,0.517453,2.6909845,4.0,2.0,1.0,0.0,0.1801945,0.020432837,0.00028496844,0.19498949,0.009499448,521.0,22.90000009536743,22.90000009536743,1.0
220000,0.5443413,2.678894,1.0,0.5,0.5,2.0,0.13875258,0.016184783,0.0002841997,0.19473322,0.009473849,4999.0,30.849090508439325,30.849090508439325,1.0
230000,0.56142825,2.6806629,2.5,2.0,2.0,3.0,0.12913729,0.014875996,0.0002834251,0.19447502,0.009448055,1471.0,27.980000153183937,27.980000153183937,1.0
240000,0.5996487,2.6575983,1.5,3.0,1.0,5.0,0.20179723,0.014142896,0.0002826523,0.19421741,0.009422321,4999.0,21.059999212622643,21.059999212622643,1.0
250000,0.6747723,2.5837305,4.0,1.0,2.0,3.5,0.13571335,0.014772807,0.0002818837,0.19396122,0.009396726,None,None,None,1.0
260000,0.7006315,2.6569183,1.5,1.5,0.0,1.5,0.16746214,0.021227488,0.0002811111,0.19370371,0.009370999,3608.6666666666665,23.206666335463524,23.206666335463524,1.0
270000,0.67845964,2.5879622,2.0,2.0,2.5,1.0,0.14739655,0.01734329,0.00028034192,0.19344729,0.009345385,None,None,None,1.0
280000,0.72015536,2.6036413,2.0,2.0,2.5,2.5,0.088925704,0.016489405,0.00027956432,0.19318812,0.00931949,4445.0,52.21999990195036,52.21999990195036,1.0
290000,0.78511566,2.5496607,5.0,3.0,1.0,1.0,0.25945768,0.01661306,0.00027879092,0.1929303,0.009293737,523.0,21.83999991416931,21.83999991416931,1.0
300000,0.7595219,2.5638392,1.5,0.5,0.5,2.0,0.16458996,0.020698035,0.00027801693,0.19267231,0.009267962,4999.0,38.487999719381335,38.487999719381335,1.0
310000,0.7934811,2.5196557,1.5,2.0,2.0,2.0,0.09748514,0.015792083,0.0002772297,0.19240992,0.009241749,4999.0,41.75999961793423,41.75999961793423,1.0
320000,0.8239995,2.535805,2.5,4.0,1.5,3.0,0.22075228,0.016927775,0.0002764563,0.1921521,0.009215995,1343.0,29.200000286102295,29.200000286102295,1.0
330000,0.8003292,2.5200381,1.5,0.0,3.5,1.0,0.13571697,0.011815166,0.0002756865,0.1918955,0.00919036,4247.0,43.86000008881092,43.86000008881092,1.0
340000,0.7717938,2.5107808,4.0,1.5,3.5,2.5,0.09806782,0.01652532,0.00027491793,0.1916393,0.0091647655,4999.0,30.289999410510063,30.289999410510063,1.0
350000,0.7367899,2.4330637,5.0,1.0,3.0,2.0,0.14023729,0.01733428,0.00027414932,0.19138308,0.009139171,None,None,None,1.0
360000,0.8075576,2.4230852,3.5,1.5,1.0,2.0,0.16648526,0.014437572,0.00027337673,0.19112557,0.009113444,4381.5,27.71999940276146,27.71999940276146,1.0
370000,0.74285424,2.3890233,2.0,2.0,1.0,3.0,0.16204323,0.016908117,0.00027260813,0.19086938,0.00908785,4999.0,39.93999972939491,39.93999972939491,1.0
380000,0.720367,2.3862271,1.5,2.5,0.0,1.5,0.09841174,0.013067539,0.00027183534,0.19061178,0.009062116,4628.777777777777,34.75333285994,34.75333285994,1.0
390000,0.8352154,2.3858254,2.0,2.0,1.0,3.5,0.19850446,0.017580938,0.00027106644,0.19035548,0.009036511,2831.0,33.030000023543835,33.030000023543835,1.0
400000,0.9115082,2.3306694,3.5,2.5,1.5,2.5,0.30841783,0.014547293,0.00027029603,0.19009869,0.009010857,4999.0,41.980000019073486,41.980000019073486,1.0
410000,0.92245734,2.3039598,0.5,2.0,2.5,3.0,0.21741134,0.013436092,0.00026952743,0.18984249,0.008985263,4872.0,52.220000475645065,52.220000475645065,1.0
420000,1.0816883,2.2159102,2.0,4.0,2.0,5.0,0.38038203,0.022249168,0.0002687524,0.18958414,0.008959454,3245.0,39.47999978810549,39.47999978810549,1.0
430000,1.0980685,2.205239,2.5,2.0,3.5,4.5,0.3289577,0.013524335,0.00026797847,0.18932615,0.008933682,3398.0,50.12000039219856,50.12000039219856,1.0
440000,1.1083289,2.1686213,5.5,3.5,4.0,2.5,0.2898739,0.015140058,0.00026720253,0.18906751,0.008907843,3188.0,53.8600003272295,53.8600003272295,1.0
450000,1.2514514,2.088728,1.0,5.0,2.0,2.0,0.4124577,0.012864578,0.00026642994,0.18880996,0.0088821165,4755.333333333333,77.15999968846639,77.15999968846639,1.0
460000,1.3603753,2.0695863,2.0,2.0,3.0,4.0,0.31875893,0.012674187,0.00026565738,0.18855245,0.00885639,4746.142857142857,75.58285733631679,75.58285733631679,1.0
470000,1.4473063,1.9547368,1.5,1.0,1.0,2.5,0.45785654,0.015866354,0.00026488607,0.18829536,0.008830706,1832.0,40.009999953210354,40.009999953210354,1.0
480000,1.6078175,1.9298688,2.0,1.0,5.0,2.0,0.49205104,0.016117472,0.00026411342,0.18803781,0.008804976,4674.5,93.72000094503164,93.72000094503164,1.0
490000,1.6720489,1.8488064,1.0,1.0,1.0,1.0,0.5089514,0.016651966,0.00026333643,0.1877788,0.008779103,2897.3333333333335,74.7999999076128,74.7999999076128,1.0
500000,1.818425,1.8713977,4.0,2.0,1.5,1.5,0.51298404,0.0136450585,0.0002625627,0.1875209,0.008753337,1957.5,65.37000047415495,65.37000047415495,1.0
510000,1.9175819,1.6828815,3.0,5.0,5.5,3.0,0.51940817,0.012703376,0.00026179277,0.18726426,0.008727699,1941.5,57.920000111063324,57.920000111063324,1.0
520000,2.0058663,1.7277822,1.5,3.0,2.5,4.0,0.59985197,0.018190362,0.00026102035,0.18700677,0.008701976,2653.75,76.1799998998642,76.1799998998642,1.0
