Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,0.706367,1.5085132,0.026267676,-0.80347633,0.0108781485,0.011098151,0.07615803,0.0003,10.5,5.0,5.0,3.5,1834.0,24.899999663233757,24.899999663233757,1.0
40000,0.90335804,1.9582936,0.022660917,-0.870151,0.0096096955,0.009715853,0.06367194,0.0003,2.0,3.0,1.5,2.5,None,None,None,1.0
50000,0.90537596,1.8860974,0.023193616,-0.93435645,0.010428149,0.010573736,0.053334277,0.00030000004,5.0,6.0,5.5,4.5,None,None,None,1.0
60000,1.0174416,1.9821517,0.022737289,-0.9910722,0.0102719385,0.010307292,0.04536918,0.00029999999,5.5,3.0,4.5,2.0,3206.0,31.699998944997787,31.699998944997787,1.0
70000,1.0519245,1.9313374,0.01920977,-1.0465931,0.008818242,0.008926434,0.038685314,0.0003,3.5,5.5,1.0,3.0,4280.0,48.279999136924744,48.279999136924744,1.0
80000,1.1033568,1.7507961,0.021630025,-1.0934371,0.009947935,0.009985203,0.033301912,0.00029999999,4.0,0.5,3.0,4.0,4999.0,24.13538379394091,24.13538379394091,1.0
90000,1.1529523,1.7087435,0.017479785,-1.1254413,0.007836052,0.00794078,0.028969696,0.0003,2.0,0.0,5.0,4.0,525.0,27.699999898672104,27.699999898672104,1.0
100000,1.1733962,1.2495426,0.022129785,-1.1633412,0.010165529,0.010280133,0.025431287,0.0003,2.0,1.5,3.5,3.5,1109.0,33.570000007748604,33.570000007748604,1.0
110000,1.2391907,1.0437101,0.028775027,-1.2026758,0.013236256,0.013340784,0.022526676,0.00029999999,1.0,4.0,1.5,2.0,4182.0,48.39999932795763,48.39999932795763,1.0
120000,1.3038056,0.73339045,0.028326372,-1.250334,0.012842848,0.013038661,0.020310367,0.00029999999,7.5,4.0,5.0,2.0,1745.0,55.6699999794364,55.6699999794364,1.0
130000,1.3681345,0.61335725,0.034414265,-1.3093317,0.016098084,0.016281994,0.018624803,0.00029999999,2.0,7.5,5.0,4.5,491.0,26.70000022649765,26.70000022649765,1.0
140000,1.4273216,0.5585127,0.038976643,-1.3692343,0.018190226,0.018374687,0.017415747,0.00029999999,8.0,3.0,4.5,3.0,3414.5,95.12000034749508,95.12000034749508,1.0
150000,1.4845531,0.50205404,0.038126655,-1.4275318,0.018077686,0.018197456,0.016463341,0.00029999999,2.0,1.5,1.5,1.5,4434.5,100.59999871253967,100.59999871253967,1.0
160000,1.5790722,0.50827765,0.03983823,-1.4901121,0.018747238,0.018909298,0.015800826,0.00029999999,0.5,0.5,1.0,7.0,4938.0,125.28666456292073,125.28666456292073,1.0
170000,1.6480489,0.4698162,0.042877138,-1.5509517,0.020517789,0.020677397,0.015223657,0.00029999999,8.0,4.0,10.0,3.0,2503.3333333333335,87.05333302915096,87.05333302915096,1.0
180000,1.7046502,0.44310424,0.044658795,-1.6171753,0.021174453,0.021326726,0.014717494,0.00029999996,3.0,1.5,4.0,2.5,3005.6666666666665,108.25999929507573,108.25999929507573,1.0
190000,1.7865187,0.35406658,0.046248443,-1.6831328,0.022147825,0.022245996,0.014557659,0.00029999999,3.5,2.5,3.5,1.5,3731.0,121.18666516244411,121.18666516244411,1.0
200000,1.8561432,0.3513784,0.047547437,-1.7557609,0.022838045,0.022967719,0.014816718,0.00029999999,11.5,7.0,6.5,7.0,1997.0,89.90999907255173,89.90999907255173,1.0
210000,1.9361622,0.3189977,0.049102202,-1.8266281,0.02358557,0.023686983,0.015299069,0.00029999999,11.0,7.0,6.5,5.5,3675.6666666666665,138.76666572193304,138.76666572193304,1.0
220000,2.0221107,0.30466554,0.052071612,-1.9008943,0.025139708,0.025269903,0.01609788,0.00029999999,4.5,5.5,7.5,7.0,2780.3333333333335,131.49333296716213,131.49333296716213,1.0
230000,2.0922592,0.36603326,0.052563295,-1.9771478,0.025341647,0.025440441,0.016912542,0.00029999999,4.0,5.0,4.5,4.0,3643.6666666666665,181.93999931712946,181.93999931712946,1.0
240000,2.1690068,0.319369,0.05498105,-2.0569873,0.026600448,0.026685692,0.017713781,0.00029999996,0.5,3.5,3.5,3.0,3445.5,155.51666625092426,155.51666625092426,1.0
250000,2.2525356,0.3162595,0.05556256,-2.1384282,0.026897125,0.026978256,0.0186384,0.00029999999,2.0,3.0,4.0,4.0,1716.0,107.7199994623661,107.7199994623661,1.0
260000,2.3285518,0.3234089,0.055373155,-2.2218258,0.026650544,0.026728092,0.019616792,0.00029999999,4.0,4.5,9.0,5.0,3208.0,156.509998973459,156.509998973459,1.0
270000,2.4286706,0.34575763,0.059550215,-2.3032482,0.028743804,0.028853979,0.02055079,0.00029999999,5.0,4.5,5.5,6.0,2580.3333333333335,127.46666705608368,127.46666705608368,1.0
280000,2.481865,0.35328683,0.060061477,-2.3850682,0.029141922,0.02919244,0.0213708,0.00029999999,5.0,6.0,8.0,3.5,3748.75,222.9999994734923,222.9999994734923,1.0
290000,2.5519965,0.37699947,0.056769125,-2.4713507,0.027489468,0.027549386,0.022128845,0.00029999999,5.5,3.0,4.0,8.0,1879.3333333333333,112.48500093817711,112.48500093817711,1.0
300000,2.6574783,0.35752445,0.063518584,-2.5448925,0.03091325,0.030982647,0.022844734,0.0003,10.0,7.0,7.5,7.5,3066.3333333333335,202.13000012934208,202.13000012934208,1.0
310000,2.7320893,0.36290142,0.06284602,-2.618693,0.030412696,0.030494414,0.023731519,0.00029999999,8.0,8.5,10.0,6.5,4101.0,195.1999994367361,195.1999994367361,1.0
320000,2.751746,0.42010787,0.061593954,-2.6970909,0.029919606,0.029944684,0.024389196,0.00029999999,8.0,5.5,4.5,2.0,1311.3333333333333,105.81000044941902,105.81000044941902,1.0
330000,2.87611,0.34328836,0.06360156,-2.7717948,0.03097808,0.031097725,0.024441736,0.00029999999,4.5,10.0,3.5,4.5,3366.5,130.44666693111262,130.44666693111262,1.0
340000,2.9350238,0.38862893,0.0679497,-2.8488517,0.033044066,0.033131056,0.025580984,0.00029999999,5.0,4.5,6.5,4.5,3458.2,195.38999995961785,195.38999995961785,1.0
350000,3.0421748,0.37824762,0.06793022,-2.9265466,0.033156637,0.033235334,0.025864646,0.00029999999,7.0,8.0,7.0,8.0,1569.0,128.5466666718324,128.5466666718324,1.0
360000,3.1055264,0.33669755,0.067854024,-3.0020366,0.032975625,0.03307266,0.026448574,0.00029999999,10.5,9.0,4.5,6.0,3697.4,233.20499855652452,233.20499855652452,1.0
370000,3.1894853,0.32959065,0.067563705,-3.07718,0.03283025,0.032897312,0.026737483,0.00029999999,2.0,1.5,2.5,2.5,2819.0,131.08666653434435,131.08666653434435,1.0
380000,3.2540736,0.36698842,0.06743136,-3.1513414,0.032752663,0.03279054,0.027189935,0.00029999999,4.5,2.0,4.0,6.0,3719.25,226.85500006750226,226.85500006750226,1.0
390000,3.3226807,0.3748325,0.06849989,-3.2220366,0.033294376,0.033391386,0.028248163,0.00029999999,6.0,9.0,5.0,2.5,1595.5,108.20000064373016,108.20000064373016,1.0
400000,3.3830936,0.3823254,0.0705785,-3.298525,0.034296397,0.034350816,0.029041084,0.00029999999,3.5,7.0,11.5,7.0,2934.5,168.68000015988946,168.68000015988946,1.0
410000,3.5213778,0.3260024,0.07248662,-3.367363,0.035361107,0.035411425,0.02885644,0.00029999999,4.0,3.0,5.0,3.5,1325.0,95.41333386798699,95.41333386798699,1.0
420000,3.5460505,0.3354079,0.07001937,-3.4353068,0.034128383,0.034225132,0.02962133,0.00029999999,7.0,11.0,6.0,10.0,2943.5,196.15000027418137,196.15000027418137,1.0
430000,3.5783513,0.35268775,0.07086002,-3.5078282,0.034591664,0.034675915,0.030248532,0.00029999999,4.0,4.5,4.0,3.0,3073.0,213.96666671335697,213.96666671335697,1.0
440000,3.663758,0.37151217,0.07272214,-3.5776656,0.035370428,0.035431765,0.031639736,0.00029999999,3.5,4.0,5.0,6.0,4195.666666666667,286.2400002380212,286.2400002380212,1.0
450000,3.7319598,0.3796092,0.07305543,-3.6392462,0.035672713,0.03572881,0.031687748,0.00029999999,7.0,7.0,4.5,5.5,3080.0,207.70000030100346,207.70000030100346,1.0
460000,3.7922187,0.37246135,0.07297739,-3.7078557,0.035564598,0.03560365,0.031674583,0.00029999999,3.0,3.0,2.5,3.5,3313.25,192.89000027626753,192.89000027626753,1.0
470000,3.8540268,0.3493547,0.07377678,-3.7746563,0.03599565,0.036075257,0.032089796,0.00029999999,3.0,3.0,4.0,6.0,3506.0,190.70666608214378,190.70666608214378,1.0
480000,3.9036458,0.37694612,0.07133765,-3.833612,0.034725145,0.034787394,0.032227762,0.00029999999,9.0,4.0,8.5,3.5,2416.2,147.7900007367134,147.7900007367134,1.0
490000,3.9874105,0.32338476,0.07160596,-3.895907,0.034960203,0.035043478,0.032225966,0.00029999999,8.5,9.0,10.5,9.5,3016.3333333333335,167.78666780889034,167.78666780889034,1.0
500000,4.04019,0.32300657,0.076982066,-3.9535067,0.037521333,0.037666712,0.032841817,0.0003,9.0,11.0,10.0,11.0,2911.6666666666665,200.52500143274665,200.52500143274665,1.0
510000,4.0842276,0.34755385,0.08455338,-4.0418673,0.04123858,0.04128452,0.03653152,0.00029999999,5.0,4.5,3.5,5.0,2237.0,149.7699994891882,149.7699994891882,1.0
520000,4.174743,0.40658,0.08882437,-4.1080527,0.0433093,0.043404642,0.04284983,0.00029999999,3.5,4.0,4.0,4.5,3087.0,182.49500025436282,182.49500025436282,1.0
530000,4.1814985,0.44534475,0.085197285,-4.1697116,0.041435238,0.041436825,0.046054054,0.00029999999,9.0,9.0,7.0,4.0,3286.0,227.0600013832251,227.0600013832251,1.0
