Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,TotalScore,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,-0.1306371,3.986141,0.12656596,0.02202378,0.000298272,0.199424,0.0049712574,0.0,999.0,0.21052631578947367,0.21052631578947367,1.0
30000,-0.09603503,3.981666,0.04493544,0.02044722,0.00029661602,0.19887203,0.0049437126,0.0,None,3.0,3.0,1.0
40000,-0.07878677,3.9769635,0.023172282,0.028381743,0.000294888,0.19829601,0.00491497,0.0,999.0,0.3684210526315789,0.3684210526315789,1.0
50000,-0.07235234,3.9693694,0.015625132,0.025454251,0.00029323195,0.19774398,0.0048874263,0.0,None,0.0,0.0,1.0
60000,-0.07129523,3.9697285,0.013809029,0.023322592,0.00029150402,0.197168,0.004858683,0.0,999.0,0.05263157894736842,0.05263157894736842,1.0
70000,-0.059357453,3.9755695,0.012954668,0.029010538,0.00028984802,0.19661602,0.0048311376,0.0,None,-4.0,-4.0,1.0
80000,-0.04343017,3.9772031,0.016458232,0.021480173,0.00028812,0.19604,0.0048023956,0.0,999.0,0.42105263157894735,0.42105263157894735,1.0
90000,-0.04039335,3.9697876,None,None,None,None,None,0.0,None,2.0,2.0,1.0
100000,-0.0439779,3.9714606,0.011310072,0.030373417,0.00028646403,0.195488,0.0047748517,0.0,999.0,-0.5789473684210527,-0.5789473684210527,1.0
110000,-0.04287093,3.967261,0.00903238,0.028682979,0.00028480805,0.19493596,0.004747306,0.0,None,0.0,0.0,1.0
120000,-0.037308402,3.966952,0.011328785,0.023956914,0.00028308,0.19436,0.004718564,0.0,999.0,-0.10526315789473684,-0.10526315789473684,1.0
130000,-0.035164338,3.9625487,0.011294481,0.01961743,0.0002814241,0.19380802,0.004691019,0.0,None,0.0,0.0,1.0
140000,-0.030035833,3.95747,0.011346956,0.019466903,0.00027969602,0.193232,0.0046622767,0.0,999.0,-0.21052631578947367,-0.21052631578947367,1.0
150000,-0.02506575,3.94659,0.0070597916,0.025195437,0.00027803998,0.19267997,0.0046347324,0.0,None,1.0,1.0,1.0
160000,-0.025475554,3.9446468,0.012449491,0.022991644,0.00027631203,0.19210401,0.0046059894,0.0,999.0,0.05263157894736842,0.05263157894736842,1.0
170000,-0.016586842,3.946799,0.0068944157,0.025176289,0.00027465602,0.19155203,0.0045784437,0.0,None,0.0,0.0,1.0
180000,-0.013960435,3.9402776,None,None,None,None,None,0.0,999.0,0.21052631578947367,0.21052631578947367,1.0
190000,-0.0066382703,3.9235146,0.005015095,0.025417821,0.00027300004,0.191,0.0045508994,0.0,None,1.0,1.0,1.0
200000,0.005007353,3.9174497,0.008756899,0.025372231,0.00027127203,0.190424,0.0045221574,0.0,999.0,0.2631578947368421,0.2631578947368421,1.0
210000,0.0070843627,3.90903,0.0069208094,0.028318346,0.00026961602,0.18987195,0.004494613,0.0,None,0.0,0.0,1.0
220000,0.005986119,3.911906,0.007005667,0.026774064,0.000267888,0.189296,0.0044658706,0.0,999.0,0.21052631578947367,0.21052631578947367,1.0
230000,0.012420104,3.91399,0.031215139,0.01829687,0.00026623203,0.18874402,0.0044383258,0.0,None,0.0,0.0,1.0
240000,0.023509832,3.910909,0.012568693,0.022857025,0.00026450402,0.188168,0.0044095833,0.0,999.0,-0.3684210526315789,-0.3684210526315789,1.0
250000,0.025805049,3.9163814,0.01618272,0.02006697,0.00026284804,0.18761598,0.0043820385,0.0,None,0.0,0.0,1.0
260000,0.028404055,3.9177337,0.009272187,0.023814648,0.00026112003,0.18704,0.004353296,0.0,999.0,0.8421052631578947,0.8421052631578947,1.0
270000,0.029129872,3.906084,None,None,None,None,None,0.0,None,3.0,3.0,1.0
280000,0.039237093,3.8954444,0.01342084,0.022174116,0.00025946405,0.18648802,0.00432575,0.0,999.0,0.3684210526315789,0.3684210526315789,1.0
290000,0.02776081,3.9019456,0.015537025,0.0255647,0.00025780796,0.185936,0.0042982074,0.0,None,1.0,1.0,1.0
300000,0.033297446,3.9073937,0.006766134,0.021915942,0.00025608003,0.18536001,0.004269464,0.0,999.0,0.7368421052631579,0.7368421052631579,1.0
310000,0.03273447,3.898745,0.01252469,0.023507638,0.00025442397,0.18480796,0.0042419196,0.0,None,1.0,1.0,1.0
320000,0.04028766,3.882923,0.024126953,0.025998715,0.00025269602,0.184232,0.0042131767,0.0,999.0,1.0526315789473684,1.0526315789473684,1.0
330000,0.053595908,3.8689263,0.017960912,0.016988568,0.00025103998,0.18368001,0.004185632,0.0,None,4.0,4.0,1.0
340000,0.07638742,3.8663437,0.029677706,0.028892199,0.00024931203,0.18310401,0.00415689,0.0,999.0,1.263157894736842,1.263157894736842,1.0
350000,0.06833406,3.8728325,0.026757266,0.020736542,0.000247656,0.182552,0.004129344,0.0,None,0.0,0.0,1.0
360000,0.05912912,3.891865,None,None,None,None,None,0.0,999.0,0.8947368421052632,0.8947368421052632,1.0
370000,0.08664866,3.8729634,0.016503494,0.023858905,0.00024600004,0.18200003,0.0041017993,0.0,None,3.0,3.0,1.0
380000,0.091140635,3.8711634,0.026752193,0.02500563,0.00024427203,0.18142399,0.0040730573,0.0,999.0,2.3157894736842106,2.3157894736842106,1.0
